[2025-03-10T01:38:59.963+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-03-10T01:39:00.043+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tiki_extract_dag.extract_data manual__2025-03-10T01:38:50.111709+00:00 [queued]>
[2025-03-10T01:39:15.167+0000] {tiki_extract_dag.py:151} INFO - Skipped product 186305097 due to duplicate
[2025-03-10T01:39:15.167+0000] {tiki_extract_dag.py:151} INFO - Skipped product 186270829 due to duplicate
[2025-03-10T01:39:15.168+0000] {tiki_extract_dag.py:151} INFO - Skipped product 184793101 due to duplicate
[2025-03-10T01:39:15.168+0000] {tiki_extract_dag.py:151} INFO - Skipped product 176672117 due to duplicate
[2025-03-10T01:39:15.169+0000] {tiki_extract_dag.py:151} INFO - Skipped product 175814174 due to duplicate
[2025-03-10T01:39:15.169+0000] {tiki_extract_dag.py:151} INFO - Skipped product 158762755 due to duplicate
[2025-03-10T01:39:15.170+0000] {tiki_extract_dag.py:151} INFO - Skipped product 153597872 due to duplicate
[2025-03-10T01:39:15.170+0000] {tiki_extract_dag.py:151} INFO - Skipped product 149467412 due to duplicate
[2025-03-10T01:39:15.170+0000] {tiki_extract_dag.py:151} INFO - Skipped product 117793839 due to duplicate
[2025-03-10T01:39:15.171+0000] {tiki_extract_dag.py:151} INFO - Skipped product 117147637 due to duplicate
[2025-03-10T01:39:15.171+0000] {tiki_extract_dag.py:151} INFO - Skipped product 108535223 due to duplicate
[2025-03-10T01:39:15.172+0000] {tiki_extract_dag.py:151} INFO - Skipped product 105821846 due to duplicate
[2025-03-10T01:39:15.172+0000] {tiki_extract_dag.py:151} INFO - Skipped product 95175125 due to duplicate
[2025-03-10T01:39:15.173+0000] {tiki_extract_dag.py:151} INFO - Skipped product 95127416 due to duplicate
[2025-03-10T01:39:15.173+0000] {tiki_extract_dag.py:151} INFO - Skipped product 70662253 due to duplicate
[2025-03-10T01:39:15.174+0000] {tiki_extract_dag.py:151} INFO - Skipped product 70633870 due to duplicate
[2025-03-10T01:39:15.174+0000] {tiki_extract_dag.py:151} INFO - Skipped product 55613571 due to duplicate
[2025-03-10T01:39:15.175+0000] {tiki_extract_dag.py:151} INFO - Skipped product 53296092 due to duplicate
[2025-03-10T01:39:15.175+0000] {tiki_extract_dag.py:151} INFO - Skipped product 52730951 due to duplicate
[2025-03-10T01:39:15.176+0000] {tiki_extract_dag.py:151} INFO - Skipped product 51540051 due to duplicate
[2025-03-10T01:39:15.177+0000] {tiki_extract_dag.py:151} INFO - Skipped product 24910578 due to duplicate
[2025-03-10T01:39:15.177+0000] {tiki_extract_dag.py:151} INFO - Skipped product 12081510 due to duplicate
[2025-03-10T01:39:15.178+0000] {tiki_extract_dag.py:151} INFO - Skipped product 12053893 due to duplicate
[2025-03-10T01:39:15.178+0000] {tiki_extract_dag.py:151} INFO - Skipped product 11368961 due to duplicate
[2025-03-10T01:39:15.179+0000] {tiki_extract_dag.py:151} INFO - Skipped product 2738595 due to duplicate
[2025-03-10T01:39:15.179+0000] {tiki_extract_dag.py:151} INFO - Skipped product 1754767 due to duplicate
[2025-03-10T01:39:15.180+0000] {tiki_extract_dag.py:151} INFO - Skipped product 1529993 due to duplicate
[2025-03-10T01:39:15.180+0000] {tiki_extract_dag.py:151} INFO - Skipped product 1313897 due to duplicate
[2025-03-10T01:39:15.181+0000] {tiki_extract_dag.py:151} INFO - Skipped product 631959 due to duplicate
[2025-03-10T01:39:15.181+0000] {tiki_extract_dag.py:151} INFO - Skipped product 631049 due to duplicate
[2025-03-10T01:39:15.182+0000] {tiki_extract_dag.py:151} INFO - Skipped product 580515 due to duplicate
[2025-03-10T01:39:15.182+0000] {tiki_extract_dag.py:151} INFO - Skipped product 385477 due to duplicate
[2025-03-10T01:39:15.183+0000] {tiki_extract_dag.py:154} INFO - Extracted page 4 - lam-dep-suc-khoe, 40 items, total extracted: 0
[2025-03-10T01:39:18.220+0000] {tiki_extract_dag.py:151} INFO - Skipped product 275926665 due to duplicate
[2025-03-10T01:39:18.220+0000] {tiki_extract_dag.py:151} INFO - Skipped product 275428235 due to duplicate
[2025-03-10T01:39:18.221+0000] {tiki_extract_dag.py:151} INFO - Skipped product 275419900 due to duplicate
