[2025-03-07T22:29:02.024+0000] {crawl_data.py:111} INFO - Extracted page 39 - dien-gia-dung
[2025-03-07T22:29:03.555+0000] {crawl_data.py:111} INFO - Extracted page 40 - dien-gia-dung
[2025-03-07T22:29:05.482+0000] {crawl_data.py:111} INFO - Extracted page 1 - sach
[2025-03-07T22:29:08.639+0000] {crawl_data.py:111} INFO - Extracted page 2 - sach
[2025-03-07T22:29:11.087+0000] {crawl_data.py:111} INFO - Extracted page 3 - sach
[2025-03-07T22:29:13.484+0000] {crawl_data.py:111} INFO - Extracted page 4 - sach
[2025-03-07T22:29:15.739+0000] {crawl_data.py:111} INFO - Extracted page 5 - sach
[2025-03-07T22:29:18.566+0000] {crawl_data.py:111} INFO - Extracted page 6 - sach
[2025-03-07T22:29:21.011+0000] {crawl_data.py:111} INFO - Extracted page 7 - sach
[2025-03-07T22:29:23.676+0000] {crawl_data.py:111} INFO - Extracted page 8 - sach
[2025-03-07T22:29:25.281+0000] {crawl_data.py:111} INFO - Extracted page 9 - sach
[2025-03-07T22:29:28.193+0000] {crawl_data.py:111} INFO - Extracted page 10 - sach
[2025-03-07T22:29:30.638+0000] {crawl_data.py:111} INFO - Extracted page 11 - sach
[2025-03-07T22:29:33.251+0000] {crawl_data.py:111} INFO - Extracted page 12 - sach
[2025-03-07T22:29:34.797+0000] {crawl_data.py:111} INFO - Extracted page 13 - sach
[2025-03-07T22:29:36.986+0000] {crawl_data.py:111} INFO - Extracted page 14 - sach
[2025-03-07T22:29:38.943+0000] {crawl_data.py:111} INFO - Extracted page 15 - sach
[2025-03-07T22:29:40.359+0000] {crawl_data.py:111} INFO - Extracted page 16 - sach
[2025-03-07T22:29:43.267+0000] {crawl_data.py:111} INFO - Extracted page 17 - sach
[2025-03-07T22:29:45.010+0000] {crawl_data.py:111} INFO - Extracted page 18 - sach
[2025-03-07T22:29:47.587+0000] {crawl_data.py:111} INFO - Extracted page 19 - sach
[2025-03-07T22:29:50.744+0000] {crawl_data.py:111} INFO - Extracted page 20 - sach
[2025-03-07T22:29:53.330+0000] {crawl_data.py:111} INFO - Extracted page 21 - sach
[2025-03-07T22:29:55.968+0000] {crawl_data.py:111} INFO - Extracted page 22 - sach
[2025-03-07T22:29:59.135+0000] {crawl_data.py:111} INFO - Extracted page 23 - sach
[2025-03-07T22:30:01.679+0000] {crawl_data.py:111} INFO - Extracted page 24 - sach
[2025-03-07T22:30:04.795+0000] {crawl_data.py:111} INFO - Extracted page 25 - sach
[2025-03-07T22:30:07.501+0000] {crawl_data.py:111} INFO - Extracted page 26 - sach
[2025-03-07T22:30:09.766+0000] {crawl_data.py:111} INFO - Extracted page 27 - sach
[2025-03-07T22:30:11.457+0000] {crawl_data.py:111} INFO - Extracted page 28 - sach
[2025-03-07T22:30:13.409+0000] {crawl_data.py:111} INFO - Extracted page 29 - sach
[2025-03-07T22:30:15.165+0000] {crawl_data.py:111} INFO - Extracted page 30 - sach
[2025-03-07T22:30:16.696+0000] {crawl_data.py:111} INFO - Extracted page 31 - sach
[2025-03-07T22:30:18.605+0000] {crawl_data.py:111} INFO - Extracted page 32 - sach
[2025-03-07T22:30:21.708+0000] {crawl_data.py:111} INFO - Extracted page 33 - sach
[2025-03-07T22:30:23.086+0000] {crawl_data.py:111} INFO - Extracted page 34 - sach
[2025-03-07T22:30:26.237+0000] {crawl_data.py:111} INFO - Extracted page 35 - sach
[2025-03-07T22:30:28.123+0000] {crawl_data.py:111} INFO - Extracted page 36 - sach
[2025-03-07T22:30:31.200+0000] {crawl_data.py:111} INFO - Extracted page 37 - sach
[2025-03-07T22:30:34.273+0000] {crawl_data.py:111} INFO - Extracted page 38 - sach
[2025-03-07T22:30:36.369+0000] {crawl_data.py:111} INFO - Extracted page 39 - sach
[2025-03-07T22:30:39.515+0000] {crawl_data.py:111} INFO - Extracted page 40 - sach
[2025-03-07T22:30:41.510+0000] {crawl_data.py:111} INFO - Extracted page 1 - thiet-bi-kts-phu-kien-so
[2025-03-07T22:30:44.152+0000] {crawl_data.py:111} INFO - Extracted page 2 - thiet-bi-kts-phu-kien-so
[2025-03-07T22:30:46.632+0000] {crawl_data.py:111} INFO - Extracted page 3 - thiet-bi-kts-phu-kien-so
[2025-03-07T22:30:49.121+0000] {crawl_data.py:111} INFO - Extracted page 4 - thiet-bi-kts-phu-kien-so
[2025-03-07T22:30:50.399+0000] {crawl_data.py:111} INFO - Extracted page 5 - thiet-bi-kts-phu-kien-so
[2025-03-07T22:30:52.929+0000] {crawl_data.py:111} INFO - Extracted page 6 - thiet-bi-kts-phu-kien-so
[2025-03-07T22:30:54.913+0000] {crawl_data.py:111} INFO - Extracted page 7 - thiet-bi-kts-phu-kien-so
[2025-03-07T22:30:56.302+0000] {crawl_data.py:111} INFO - Extracted page 8 - thiet-bi-kts-phu-kien-so
[2025-03-07T22:30:57.732+0000] {crawl_data.py:111} INFO - Extracted page 9 - thiet-bi-kts-phu-kien-so
[2025-03-07T22:30:59.968+0000] {crawl_data.py:111} INFO - Extracted page 10 - thiet-bi-kts-phu-kien-so
[2025-03-07T22:31:01.497+0000] {crawl_data.py:111} INFO - Extracted page 11 - thiet-bi-kts-phu-kien-so
[2025-03-07T22:31:04.392+0000] {crawl_data.py:111} INFO - Extracted page 12 - thiet-bi-kts-phu-kien-so
[2025-03-07T22:31:06.041+0000] {crawl_data.py:111} INFO - Extracted page 13 - thiet-bi-kts-phu-kien-so
[2025-03-07T22:31:07.803+0000] {crawl_data.py:111} INFO - Extracted page 14 - thiet-bi-kts-phu-kien-so
[2025-03-07T22:31:10.583+0000] {crawl_data.py:111} INFO - Extracted page 15 - thiet-bi-kts-phu-kien-so
[2025-03-07T22:31:12.726+0000] {crawl_data.py:111} INFO - Extracted page 16 - thiet-bi-kts-phu-kien-so
[2025-03-07T22:31:14.563+0000] {crawl_data.py:111} INFO - Extracted page 17 - thiet-bi-kts-phu-kien-so
[2025-03-07T22:31:16.765+0000] {crawl_data.py:111} INFO - Extracted page 18 - thiet-bi-kts-phu-kien-so
[2025-03-07T22:31:18.950+0000] {crawl_data.py:111} INFO - Extracted page 19 - thiet-bi-kts-phu-kien-so
[2025-03-07T22:31:22.223+0000] {crawl_data.py:111} INFO - Extracted page 20 - thiet-bi-kts-phu-kien-so
[2025-03-07T22:31:24.707+0000] {crawl_data.py:111} INFO - Extracted page 21 - thiet-bi-kts-phu-kien-so
[2025-03-07T22:31:26.241+0000] {crawl_data.py:111} INFO - Extracted page 22 - thiet-bi-kts-phu-kien-so
[2025-03-07T22:31:28.635+0000] {crawl_data.py:111} INFO - Extracted page 23 - thiet-bi-kts-phu-kien-so
[2025-03-07T22:31:31.691+0000] {crawl_data.py:111} INFO - Extracted page 24 - thiet-bi-kts-phu-kien-so
[2025-03-07T22:31:34.673+0000] {crawl_data.py:111} INFO - Extracted page 25 - thiet-bi-kts-phu-kien-so
[2025-03-07T22:31:36.893+0000] {crawl_data.py:111} INFO - Extracted page 26 - thiet-bi-kts-phu-kien-so
